# Version 2.1.0 / 2024-07-22,,Changes since last version are marked with a yellow background / Änderungen seit der letzten Version sind mit einem gelben Hintergrund markiert.,,,,,,,,
Type,Group,Source,Destination,Filter,Title,Parent,Title DE,Parent DE,Last Update (Version),Last Update (Date)
# Posts,,,,,,,,,,
,,,,,,,,,,
post,,freitexte->objekttitel,post_title,,,,,,,
"# „freitexte->objektbeschreibung“, „freitexte->lage“, „freitexte->ausstatt_beschr“ will be concatenated into the main property description field (post_content).",,,,,,,,,,
"# „freitexte->objektbeschreibung“, „freitexte->lage“, „freitexte->ausstatt_beschr“ werden in im Haupt-Beschreibungsfeld der Immobilie (post_content) zusammengefügt.",,,,,,,,,,
post,,freitexte->objektbeschreibung+,post_content,,,,,,,
post,,freitexte->lage+,post_content,,,,,,,
post,,freitexte->ausstatt_beschr+,post_content,,,,,,,
,,,,,,,,,,
# Taxonomy Terms,,,,,,,,,,
,,,,,,,,,,
#taxonomy,,objektkategorie->nutzungsart:WOHNEN,,,Living Properties,,Wohnimmobilien,,,
#taxonomy,,objektkategorie->nutzungsart:GEWERBE,,,Commercial Properties,,Gewerbeimmobilien,,,
#taxonomy,,objektkategorie->nutzungsart:ANLAGE,,,Investment,,Kapitalanlage,,,
#taxonomy,,objektkategorie->nutzungsart:WAZ,,,Temporary Living,,Wohnen auf Zeit,,,
#taxonomy,,freitexte->sonstige_angaben~Empfehlung,,,Featured Properties,,Empfehlungen,,,
taxonomy,,geo->ort,location,,,,,,,
,,,,,,,,,,
taxonomy,,objektkategorie->objektart->zimmer,proptype,,Single Room,Single Rooms,Zimmer,Zimmer,,
taxonomy,,objektkategorie->objektart->wohnung,proptype,,Flat,Flats,Wohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:KEINE_ANGABE,proptype,,Flat,Flats,Wohnung,Wohnungen,1.1.2,2015-05-22
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:DACHGESCHOSS,proptype,,Attic Flat,Flats,DG-Wohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:MAISONETTE,proptype,,Maisonette,Flats,Maisonette-Wohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:LOFT-STUDIO-ATELIER,proptype,,Loft / Studio / Atelier,Flats,Loft / Studio / Atelier,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:PENTHOUSE,proptype,,Penthouse Flat,Flats,Penthouse-Wohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:TERRASSEN,proptype,,Terrace Flat,Flats,Terrassenwohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:ETAGE,proptype,,Apartment,Flats,Etagenwohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:ERDGESCHOSS,proptype,,Ground-floor Flat,Flats,Erdgeschosswohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:SOUTERRAIN,proptype,,Basement Flat,Flats,Souterrainwohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:APARTMENT,proptype,,Apartment,Flats,Apartment,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:FERIENWOHNUNG,proptype,,Holiday Flat,Flats,Ferienwohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:GALERIE,proptype,,Gallery Flat,Flats,Galeriewohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:ROHDACHBODEN,proptype,,Raw Attic,Flats,Rohdachboden,Wohnungen,,
