# Version 1.1.0 / 2024-07-22,,,Changes since last version are marked with a yellow background / Änderungen seit der letzten Version sind mit einem gelben Hintergrund markiert.,,,,,,,,
Type,Name,Group,Source,Destination,Filter,Title,Parent,Title DE,Parent DE,Last Update (Version),Last Update (Date)
# Posts,,,,,,,,,,,
,,,,,,,,,,,
post,,,freitexte->objekttitel,post_title,,,,,,,
post,,,freitexte->objektbeschreibung,post_content,,,,,,,
post,,,freitexte->dreizeiler,post_excerpt,,,,,,,
,,,,,,,,,,,
# Taxonomies,,,,,,,,,,,
,,,,,,,,,,,
#taxonomy,,,objektkategorie->nutzungsart:WOHNEN,type_of_use_taxonomy,,Living Property,,Wohnimmobilie,,,
#taxonomy,,,objektkategorie->nutzungsart:GEWERBE,type_of_use_taxonomy,,Commercial Property,,Gewerbeimmobilie,,,
#taxonomy,,,objektkategorie->nutzungsart:ANLAGE,type_of_use_taxonomy,,Investment,,Kapitalanlage,,,
#taxonomy,,,objektkategorie->nutzungsart:WAZ,type_of_use_taxonomy,,Temporary Living,,Wohnen auf Zeit,,,
,,,,,,,,,,,
#taxonomy,,,objektkategorie->objektart->zimmer,property_type_taxonomy,,Single Room,Single Rooms,Zimmer,Zimmer,,
#taxonomy,,,objektkategorie->objektart->wohnung,property_type_taxonomy,,Flat,Flats,Wohnung,Wohnungen,,
#taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:KEINE_ANGABE,property_type_taxonomy,,Flat,Flats,Wohnung,Wohnungen,,
#taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:DACHGESCHOSS,property_type_taxonomy,,Attic Flat,Flats,DG-Wohnung,Wohnungen,,
#taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:MAISONETTE,property_type_taxonomy,,Maisonette,Flats,Maisonette-Wohnung,Wohnungen,,
#taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:LOFT-STUDIO-ATELIER,property_type_taxonomy,,Loft / Studio / Atelier,Flats,Loft / Studio / Atelier,Wohnungen,,
#taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:PENTHOUSE,property_type_taxonomy,,Penthouse Flat,Flats,Penthouse-Wohnung,Wohnungen,,
#taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:TERRASSEN,property_type_taxonomy,,Terrace Flat,Flats,Terrassenwohnung,Wohnungen,,
#taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:ETAGE,property_type_taxonomy,,Apartment,Flats,Etagenwohnung,Wohnungen,,
#taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:ERDGESCHOSS,property_type_taxonomy,,Ground-floor Flat,Flats,Erdgeschosswohnung,Wohnungen,,
#taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:SOUTERRAIN,property_type_taxonomy,,Basement Flat,Flats,Souterrainwohnung,Wohnungen,,
#taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:APARTMENT,property_type_taxonomy,,Apartment,Flats,Apartment,Wohnungen,,
#taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:FERIENWOHNUNG,property_type_taxonomy,,Holiday Flat,Flats,Ferienwohnung,Wohnungen,,
#taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:GALERIE,property_type_taxonomy,,Gallery Flat,Flats,Galeriewohnung,Wohnungen,,
#taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:ROHDACHBODEN,property_type_taxonomy,,Raw Attic,Flats,Rohdachboden,Wohnungen,,
#taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:ATTIKAWOHNUNG,property_type_taxonomy,,Penthouse Apartment,Flats,Attikawohnung,Wohnungen,,
