# Version 1.5.7 / 2025-04-29,,,Changes since last version are marked with a yellow background / Änderungen seit der letzten Version sind mit einem gelben Hintergrund markiert.,,,,,,,,
Type,Name,Group,Source,Destination,Filter,Title,Parent,Title DE,Parent DE,Last Update (Version),Last Update (Date)
# Posts,,,,,,,,,,,
,,,,,,,,,,,
post,,,freitexte->objekttitel,post_title,,,,,,,
post,,,freitexte->objektbeschreibung,post_content,,,,,,,
post,,,freitexte->dreizeiler,post_excerpt,,,,,,,
,,,,,,,,,,,
# Taxonomies,,,,,,,,,,,
,,,,,,,,,,,
taxonomy,,,objektkategorie->nutzungsart:WOHNEN,inx_type_of_use,,Residential Property,,Wohnimmobilie,,,
taxonomy,,,objektkategorie->nutzungsart:GEWERBE,inx_type_of_use,,Commercial Property,,Gewerbeimmobilie,,,
taxonomy,,,objektkategorie->nutzungsart:ANLAGE,inx_type_of_use,,Investment,,Kapitalanlage,,,
taxonomy,,,objektkategorie->nutzungsart:WAZ,inx_type_of_use,,Temporary Living,,Wohnen auf Zeit,,,
,,,,,,,,,,,
taxonomy,,,geo->ort,inx_location,,,,,,,
taxonomy,,,geo->regionaler_zusatz,inx_location,,,,,,,
,,,,,,,,,,,
taxonomy,,,objektkategorie->objektart->zimmer,inx_property_type,,Single Room,Single Rooms,Zimmer,Zimmer,,
taxonomy,,,objektkategorie->objektart->wohnung,inx_property_type,,Flat,Flats,Wohnung,Wohnungen,,
taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:KEINE_ANGABE,inx_property_type,,Flat,Flats,Wohnung,Wohnungen,,
taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:DACHGESCHOSS,inx_property_type,,Attic Flat,Flats,DG-Wohnung,Wohnungen,,
taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:MAISONETTE,inx_property_type,,Maisonette,Flats,Maisonette-Wohnung,Wohnungen,,
taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:LOFT-STUDIO-ATELIER,inx_property_type,,Loft / Studio / Atelier,Flats,Loft / Studio / Atelier,Wohnungen,,
taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:PENTHOUSE,inx_property_type,,Penthouse Flat,Flats,Penthouse-Wohnung,Wohnungen,,
taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:TERRASSEN,inx_property_type,,Terrace Flat,Flats,Terrassenwohnung,Wohnungen,,
taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:ETAGE,inx_property_type,,Apartment,Flats,Etagenwohnung,Wohnungen,,
taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:ERDGESCHOSS,inx_property_type,,Ground-floor Flat,Flats,Erdgeschosswohnung,Wohnungen,,
taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:SOUTERRAIN,inx_property_type,,Basement Flat,Flats,Souterrainwohnung,Wohnungen,,
taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:APARTMENT,inx_property_type,,Apartment,Flats,Apartment,Wohnungen,,
taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:FERIENWOHNUNG,inx_property_type,,Holiday Flat,Flats,Ferienwohnung,Wohnungen,,
taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:GALERIE,inx_property_type,,Gallery Flat,Flats,Galeriewohnung,Wohnungen,,
taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:ROHDACHBODEN,inx_property_type,,Raw Attic,Flats,Rohdachboden,Wohnungen,,
taxonomy,,,objektkategorie->objektart->wohnung:wohnungtyp:ATTIKAWOHNUNG,inx_property_type,,Penthouse Apartment,Flats,Attikawohnung,Wohnungen,,
