# Version 2.1.0 / 2024-07-17,,Changes since last version are marked with a yellow background / Änderungen seit der letzten Version sind mit einem gelben Hintergrund markiert.,,,,,,,,
Type,Group,Source,Destination,Filter,Title,Parent,Title DE,Parent DE,Last Update (Version),Last Update (Date)
# Posts,,,,,,,,,,
,,,,,,,,,,
post,,freitexte->objekttitel,post_title,,,,,,,
"# „freitexte->objektbeschreibung“, „freitexte->lage“, „freitexte->ausstatt_beschr“ and „freitexte->sonstige_angaben“ will be concatenated into the main property description field (post_content).",,,,,,,,,,
"# „freitexte->objektbeschreibung“, „freitexte->lage“, „freitexte->ausstatt_beschr“ und „freitexte->sonstige_angaben“ werden in im Haupt-Beschreibungsfeld der Immobilie (post_content) zusammengefügt.",,,,,,,,,,
post,,freitexte->objektbeschreibung+,post_content,,,,,,,
post,,freitexte->lage+,post_content,,,,,,,
post,,freitexte->ausstatt_beschr+,post_content,,,,,,,
post,,freitexte->sonstige_angaben+,post_content,,,,,,,
post,,freitexte->dreizeiler,post_excerpt,,,,,,,
,,,,,,,,,,
# Taxonomies,,,,,,,,,,
,,,,,,,,,,
#taxonomy,,objektkategorie->nutzungsart:WOHNEN,no_appropriate_taxonomy_in_wp_residence,,Living Properties,,Wohnimmobilien,,,
#taxonomy,,objektkategorie->nutzungsart:GEWERBE,no_appropriate_taxonomy_in_wp_residence,,Commercial Properties,,Gewerbeimmobilien,,,
#taxonomy,,objektkategorie->nutzungsart:ANLAGE,no_appropriate_taxonomy_in_wp_residence,,Investment,,Kapitalanlage,,,
#taxonomy,,objektkategorie->nutzungsart:WAZ,no_appropriate_taxonomy_in_wp_residence,,Temporary Living,,Wohnen auf Zeit,,,
,,,,,,,,,,
taxonomy,,geo->ort,property_city,,,,,,,
,,,,,,,,,,
taxonomy,,objektkategorie->objektart->zimmer,property_category,,Single Room,Single Rooms,Zimmer,Zimmer,,
taxonomy,,objektkategorie->objektart->wohnung,property_category,,Flat,Flats,Wohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:KEINE_ANGABE,property_category,,Flat,Flats,Wohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:DACHGESCHOSS,property_category,,Attic Flat,Flats,DG-Wohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:MAISONETTE,property_category,,Maisonette,Flats,Maisonette-Wohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:LOFT-STUDIO-ATELIER,property_category,,Loft / Studio / Atelier,Flats,Loft / Studio / Atelier,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:PENTHOUSE,property_category,,Penthouse Flat,Flats,Penthouse-Wohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:TERRASSEN,property_category,,Terrace Flat,Flats,Terrassenwohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:ETAGE,property_category,,Apartment,Flats,Etagenwohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:ERDGESCHOSS,property_category,,Ground-floor Flat,Flats,Erdgeschosswohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:SOUTERRAIN,property_category,,Basement Flat,Flats,Souterrainwohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:APARTMENT,property_category,,Apartment,Flats,Apartment,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:FERIENWOHNUNG,property_category,,Holiday Flat,Flats,Ferienwohnung,Wohnungen,,
